word: የሚቆመው	stem: ሚቆመው
word: ተክቼ	stem: ተክች
word: ፈረሰኞች	stem: ፈረሰኝ
word: በተፈጸመበት	citation: ተፈጸመ
word: አባቶቻችሁም	stem: አባቶቻችህ
word: ቀጥሏልና	citation: ቀጠለ
word: ለሚጨምሩና	citation: ጨመረ
word: ከኃጢአቱ	stem: ሀጢአት
word: እንደመሠከርክ	citation: መሰከረ
word: ትከለክላላችሁ	citation: ከለከለ
word: ቀርጤስን	stem: ቀርጤስ
word: የፈረሰኞቹን	stem: ፈረሰኝ
word: ባልንጀራችሁንና	stem: አልንጀራችሁን
word: የሚመለስ	citation: ተመለሰ
word: ባስቆጣኝም	stem: አስቆጣኝ
word: በኖረች	stem: ኖረች
word: ሊያጣብቀው	stem: ሊያጣብቀ
word: የምነግራችሁን	stem: ምነግራችህ
word: ልብስህ	stem: ልብስ
word: ሕግና	stem: ህግ
word: ሃሽቦን	stem: ሀሽቦ
word: ከመጀመሪያው	stem: ጀመረ
word: አስገብቶት	citation: አስገበተ
word: ወንድማቸው	stem: ወንድም
word: በድፍረት	stem: ድፍረት
word: በወጣህ	stem: በወጣ
word: እንዳጡ	stem: ንዳጥ
word: ማደርን	stem: ማደር
word: አሳደሙ	stem: አሳደም
word: ገንቡ	stem: ገንብ
word: አድናለሁ	stem: አድናለህ
word: እንድትበሉት	stem: ንድትበሉት
word: ይመልሳል	citation: መለሰ
word: አልወሰደም	stem: አልወሰደ
word: ኤቤንዔዘርም	stem: ኤቤንኤዘር
word: እያወቁ	stem: አወቅ
word: ይኮንኑታል	citation: ኮነነ
word: ጫማው	stem: ጫማ
word: ሲወስድ	citation: ወሰደ
word: ከበባና	stem: በባ
word: ሳይወለዱ	stem: ሳይወለድ
word: እሰፍራለሁ	citation: ሰፈረ
word: ይሳደቡ	citation: ተሳደበ
word: በፈለግከው	citation: ፈለገ
word: ቀለብም	stem: ቀለብ
word: በቱባልና	stem: ቱባል
word: የቤንሃዳድን	stem: ቤንሀዳድ
word: ከበደላችሁ	citation: ከበደ
word: ጅማቶቹን	stem: ጅማቶች
word: የምነግርህንም	citation: ነገረ
word: ስለሆነም	stem: ስለሆነ
word: እኩዮቻችሁ	stem: እኩዮቻችህ
word: ቀትር	citation: ቀተረ
word: በታማኝነቱ	stem: ታማኝነት
word: ሄደውም	stem: ሄደ
word: ማንገላታቱን	stem: ማንገላታት
word: ከሰካራሞች	stem: ከሰካራም
word: ሊለብስ	citation: ለበሰ
word: ብትሰግድና	stem: ብትሰግድ
word: ከአንበሶች	stem: አንበሳ
word: ብታሳውቁኝ	citation: አሳወቀ
word: የከሲል	stem: ከሲል
word: ሲመዝኑና	stem: ሲመዝኑ
word: መራህ	citation: መረረ
word: የሚያጠፋውን	stem: ሚያጠፋ
word: የዛኖሃ	stem: ዛኖሀ
word: በተንኩት	citation: በተነ
word: ከድንኳኑም	stem: ድንኳን
word: ርስቶቻቸው	stem: ርስት
word: የውኃ	stem: ውሀ
word: አይወጥር	citation: ወጠረ
word: ላልተማሩ	stem: ላልተማር
word: መድረሳቸውን	stem: ደረሰ
word: የሚያጽናናው	stem: ሚያጽናና
word: ዘሮቻቸው	stem: ዘር
word: አሸበረው	stem: አሸበረ
word: ከአካባቢው	stem: አካባቢ
word: ባወጣቸው	stem: አወጣቸው
word: ትገደላለህ	citation: ተገደለ
word: አቅርቦቱም	stem: አቅርቦት
word: ከተዘረጋበት	stem: ተዘረጋበት
word: የምታሳድደውስ	stem: ምታሳድደ
word: አስወግዷል	citation: አስወገደ
word: መተዳደሪያቸው	stem: ተዳደረ
word: እንዳይመታው	stem: ንዳይመታ
word: ፈረከሰችው	citation: ፈረከሰ
word: ይጥራሉ	stem: ይጥራል
word: አሉልህ	stem: አሉል
word: ከመንገዱም	stem: መንገድ
word: እንደተለቀቀ	citation: ተለቀቀ
word: ልጅቷም	stem: ልጅቷ
word: በገሠጽካቸው	stem: ገሰጽካቸ
word: ብትወዳት	citation: ወደደ
word: ላለመለየት	stem: አለመለየት
word: ምስሎችህ	stem: ምስል
word: ከኦኒካ	stem: ኦኒካ
word: አልናቸው	stem: አልናቸ
word: ሳትመለከቱ	stem: ሳትመለከት
word: የማታን	stem: ማታ
word: ዘርፈዋል	citation: ዘረፈ
word: ሊከሱት	citation: ከሰሰ
word: ጠረን	stem: ጠረ
word: ደርሰው	citation: ደረሰ
word: ወዳጆችሽ	stem: ወደደ
word: አያድርባትም	stem: አያድርባት
word: ባረፉት	stem: አረፉት
word: አልፋለሁና	stem: አልፋለህ
word: መሰማሪያም	stem: መሰማሪያ
word: ትልቁን	stem: ትልቅ
word: የጠንቋዮቹ	stem: ጠንቋያ
word: መልካምና	stem: መልካም
word: ተጠመጠመብኝ	citation: ተጠመጠመ
word: እንገኛለን	stem: ንገኛለን
word: በእውነትና	stem: እውነት
word: ብታበድር	citation: አበደረ
word: ለመገልበጥ	stem: ገለበጠ
word: ከሚጠበቅብኝ	stem: ሚጠበቅብኝ
word: ሲገቡ	stem: ሲገብ
word: ጎስቋላ	stem: ጎስቅዋላ
word: እያቀረብኩ	citation: አቀረበ
word: በዘረጋ	stem: ዘረጋ
word: ከጫካ	stem: ጫካ
word: በሚነድበት	citation: ነደደ
word: ቦዔዝን	stem: ቦኤዝ
word: እህሌንና	stem: እህል
word: ሰይፍና	stem: ሰይፍ
word: ስለገደሏት	citation: ገደለ
word: ለፊታችን	stem: ፊት
word: በሌዋውያኑ	stem: ሌዋውያን
word: ያከትምላቸዋል	citation: አከተመ
word: የሚፈርስ	citation: ፈረሰ
word: ለጸሐፊው	stem: ጸሀፊ
word: አግቡ	stem: አግብ
word: መሬቱ	stem: መሬት
word: የመረጠህ	citation: መረጠ
word: ያፈካል	stem: አፈካል
word: የነታንያህ	stem: የነታንያ
word: መዝገብ	stem: ዘገበ
word: አያልቁም	stem: አያልቅ
word: አለምን	stem: አለም
word: እንደመንከር	stem: ነከረ
word: እፍኝ	stem: ፍኝ
word: የምሕረት	stem: ምህረት
word: ይመረምሩ	citation: መረመረ
word: ወይንህን	stem: ወይን
word: አሳጠርክበት	citation: አሳጠረ
word: አይተርፉም	stem: አይተርፍ
word: በምድሬ	stem: ምድር
word: ከሚመጣበት	stem: ሚመጣበት
word: ተደሰቱ	citation: ተደሰተ
word: ወረድኩ	citation: ወረደ
word: በምክርህ	stem: ምክር
word: ያፈራሉ	stem: አፈራል
word: ከእሳቱም	stem: ከእሳቱ
word: ላልተደረገላት	citation: ተደረገ
word: ስላመጣው	stem: ስላመጣ
word: ዝርያዎችን	stem: ዝርያዋ
word: የለባችሁም	stem: ለባችህ
word: ውጨኛው	stem: ውጨኛ
word: የሚሰጠን	stem: ሚሰጠን
word: ፍርስራሾች	stem: ፍርስራሽ
word: የገባልኝን	stem: የገባልኝ
word: በምወቀስበት	citation: ተወቀሰ
word: ፍጥረታቱና	stem: ፍጥረታቱ
word: ልጥራልሽ	stem: ልጥራል
word: የቀሩ	stem: ቀሩ
word: ያካፈለው	citation: አካፈለ
word: የሚያስከፋ	stem: ሚያስከፋ
word: ይታዘዛችኋል	stem: ይታዘዛችህዋል
word: ይሸፍን	citation: ሸፈነ
word: መጋረጃው	stem: ጋረደ
word: ድጋፎችን	stem: ድጋፍ
word: የሚያስጌጡትን	stem: ሚያስጌጡት
word: ይጠፋሉና	stem: ይጠፋል
word: ገረዘችው	citation: ገረዘ
word: እንዲቀጡ	stem: ንዲቀጥ
word: የሰውም	stem: ሰው
word: ወይናቸው	stem: ወይን
word: በቁጥር	stem: ቁጥር
word: የፈረሰኞቹ	stem: የፈረሰኞች
word: የሰጠውና	stem: የሰጠ
word: በቆማችሁበት	stem: ቆማችሁበት
word: ሳህኖቹና	stem: ሳህን
word: ከሚያወጣ	stem: ሚያወጣ
word: ሊሞቱ	stem: ሊሞት
word: እንደምንጸልይ	stem: ንደምንጸልይ
word: እንገድላቸዋለን	citation: ገደለ
word: ያበሩትን	stem: አበሩት
word: በመጸየፍ	stem: መጸየፍ
word: ማስተዋልንስ	stem: ማስተዋል
word: ያለብስሃል	citation: አለበሰ
word: ያስቻለን	stem: አስቻለ
word: ሕዝቡም	stem: ህዝብ
word: ሰነዘረ	citation: ሰነዘረ
word: ስታነቡ	citation: አነበበ
word: ተሰጥቶት	citation: ተሰጠቶተ
word: ባዘኑ	stem: አዘን
word: የጠየቅሽኝን	stem: ጠየቅሽኝን
word: በምግቤ	stem: ምግብ
word: ላሳጣችሁ	stem: አሳጣችህ
word: የበግህን	stem: በግ
word: በክምር	stem: ክምር
word: ቡቂን	stem: ቡቂ
word: ልሸሽ	stem: ልሸ
word: ለማጥባት	stem: ማጥባት
word: እንዲሆኗቸው	stem: ንዲሆንዋቸ
word: እንደጠፉ	stem: ጠፉ
word: በሚያሳይ	stem: ሚያሳይ
word: ከሰልፉ	stem: ሰልፍ
word: ይበላቸዋልና	stem: ይበላቸዋል
word: ቢጠላትና	stem: ቢጠላት
word: የተወደደችውንም	stem: ተወደደችውን
word: ሲተኛም	stem: ሲተኛ
word: የሚያስተውል	stem: ሚያስተውል
word: ነክቷል	stem: ነክትዋል
word: ምስሌና	stem: ምስሌ
word: ጉዳይህን	stem: ጉዳይህ
word: ጽፏል	stem: ጽፍዋል
word: ስለደረሰብን	citation: ደረሰ
word: እንዲያደርግ	citation: አደረገ
word: በይብለአም	stem: በይብለአ
word: በኤዶም	stem: ኤዶ
word: ጣዖቶቻችሁ	stem: ጣኦቶቻችህ
word: የሚያዩኝ	stem: ሚያዩኝ
word: መኝታዬ	stem: መኝታ
word: እንደተሾምኩ	stem: ተሾምክ
word: ከወሰደኝ	citation: ወሰደ
word: የኤፍሬምን	stem: ኤፍሬም
word: ከተመረጡት	citation: ተመረጠ
word: ልንዘምር	citation: ዘመረ
word: ተከተልኩት	citation: ተከተለ
word: ሳታደርጉ	stem: ሳታደርግ
word: ኤሞርንና	stem: ኤሞርን
word: የማለው	stem: ማለው
word: እንዲረጋገጥ	citation: ተረጋገጠ
word: በሬ	stem: በር
word: እስክነሳ	stem: ስክነሳ
word: ብትተው	stem: ብትተ
word: እነግርሻለሁ	citation: ነገረ
word: ካቀረብን	citation: አቀረበ
word: የበዛላችሁ	stem: በዛላችሁ
word: የነገረውን	citation: ነገረ
word: በማይችል	stem: ማይችል
word: ይቃርማል	citation: ቃረመ
word: አትሻገሩ	citation: ተሻገረ
word: ደስታና	stem: ደስታ
word: የባለጸጋ	stem: ባለጸጋ
word: በመክፈት	stem: ከፈተ
word: እንስሶችህም	stem: ንስስ
word: የምትመራ	stem: ምትመራ
word: የእውነተኛውም	stem: የእውነተኛ
word: የበዛና	stem: የበዛ
word: ሮጠው	stem: ሮጠ
word: ወዳዘጋጀህላቸው	stem: ወዳዘጋጀህላቸ
word: የሠራነውን	stem: ሰራነ
word: ሰምተሃል	citation: ሰመተ
word: ዮራምን	stem: ዮራም
word: ከሃኖክ	stem: ሀኖክ
word: በርብራቡ	stem: በርብራብ
word: በታጨሽበት	stem: ታጨሽበት
word: የተቀበሉትንና	citation: ተቀበለ
word: በከንቱም	stem: በከንቱ
word: ከባአል	stem: ባአል
word: ከቃልህም	stem: ከቃል
word: ባያያዛችሁትም	stem: ባያያዛችሁት
word: ያሾብአም	stem: አሾብአ
word: ይጻረራል	citation: ተጻረረ
word: የሚቆሙትን	stem: የሚቆሙት
word: ጥፋተኛውን	stem: ጥፋተኛ
word: በሸንተረሮቹ	stem: በሸንተረር
word: ሥርዓትን	stem: ስርአት
word: ለመመገብ	stem: ተመገበ
word: ትራባላችሁ	stem: ትራባላችህ
word: ሄኖስ	stem: ሄኖ
word: ስሜቷ	stem: ስሜት
word: ታውረው	stem: ታውረ
word: ወደሚነደው	stem: ሚነደ
word: ያሳድገዋል	stem: አሳድገዋል
word: የምታሳድግበት	stem: ምታሳድግበት
word: ለሚናገረው	citation: ተናገረ
word: ተመልክተሃል	citation: ተመለከተ
word: ፈለጓቸው	citation: ፈለገ
word: እንዳልቻልን	stem: እንዳልቻል
word: ታስፈራራኛለህ	stem: ታስፈራራኛለ
word: እንደሚመስል	citation: መሰለ
word: በሕዝብህ	stem: ህዝብ
word: በግራ	stem: ግራ
word: ወጥተን	citation: ወጠተ
word: ጠቦቱንና	stem: ጠቦት
word: ያደረግኩትንም	citation: አደረገ
word: ከደቦል	stem: ደቦል
word: ችጋርም	stem: ችጋር
word: በሉር	stem: ሉር
word: ልታስለቅቅ	citation: አስለቀቀ
word: ታደርጉኛላችሁ	citation: አደረገ
word: አንመላለስም	citation: ተመላለሰ
word: ዳርዮስ	stem: ዳርዮ
word: ጌታም	stem: ጌታ
word: ሸጠሽ	stem: ሸጠ
word: የሚያፈሱት	citation: አፈሰሰ
word: አታገኘውም	stem: አታገኘ
word: የማሃት	stem: ማሀት
word: ከነበራችሁበት	citation: ነበረ
word: መጠንና	citation: መጠነ
word: በሹክሹክታ	stem: ሹክሹክታ
word: የኢሳይያስ	stem: ኢሳይያስ
word: ስደተኞች	stem: ስደተኛ
word: ጠራርጎ	citation: ጠራረገ
word: ትለብሻቸዋለሽ	citation: ለበሰ
word: በዓልመዖን	stem: በአልመኦ
word: እንደተጎሳቆለ	stem: ንደተጎሳቆለ
word: እስክትወጡም	stem: ስክትወጡም
word: የሚወልዱበትን	citation: ወለደ
word: በሽማግሌዎቹና	stem: ሽማግሌዎቹ
word: የሚሸሹትንም	stem: ሚሸሹትን
word: የሚምለውም	stem: የሚምለው
word: እንዳታለላት	stem: ንዳታለላት
word: ትዕቢታችሁን	stem: ትእቢት
word: አጠፋን	stem: አጠፋ
word: እንዳታለሉት	stem: አታለሉት
word: ስላሳየኝና	stem: አሳየኝ
word: ይሰጧቸው	stem: ይሰጥዋቸው
word: ቆፍሮም	stem: ቆፍሮ
word: ከሚያልፉት	stem: ሚያልፉት
word: እንደምታዳምጡ	stem: እንደምታዳምጥ
word: ፈጣሪህ	stem: ፈጠረ
word: ያነሳኸው	stem: አነሳኸው
word: ካየኸኝ	stem: አየኸኝ
word: የምትሠሩት	citation: ሰረረ
word: አስበልጦ	citation: አስበለጠ
word: አሳጥተው	stem: አሳጥተ
word: እንዳልሰሙኝ	stem: ንዳልሰሙኝ
word: በመተማመን	stem: ተተማመነ
word: በኤዶምና	stem: ኤዶም
word: የሚያመሰኳውን	stem: ሚያመሰክዋ
word: ተከናንቦ	citation: ተከናነበ
word: መገለጥ	stem: ገለጠ
word: የኃላፊነት	stem: ሀላፊነት
word: በሚስጥር	stem: ሚስጥር
word: አትውደድ	citation: ወደደ
word: ገላዬን	stem: ገለለ
word: ቅናትንና	stem: ቅናት
word: የሚከናወኑትን	citation: ተከናወነ
word: አንገታችንን	stem: አንገት
word: አፋቸውን	stem: አፍ
word: እንዲባረር	citation: ተባረረ
word: በልቤም	stem: ልቤም
word: ተነስተዋል	citation: ተነሰተ
word: አንገትሽም	stem: አንገት
word: የልብስህን	stem: የልብስ
word: ላለው	stem: አለ
word: ሊጓደልባት	citation: ተጓደለ
word: በማልኩልሽ	stem: ማልኩል
word: ሾባክንም	stem: ሾባክ
word: መኮንኑን	stem: መኮንን
word: ጸለዩላቸው	stem: ጸለዩላቸ
word: ረሃቡም	stem: ረሀብ
word: ተናግረሃል	citation: ተናገረ
word: በሚዋጉበት	stem: ሚዋጉበት
word: ከሞትን	stem: ሞትን
word: እንድትተባበሩ	stem: ንድትተባበሩ
word: የአሃርሔል	stem: አሀርሄል
word: ስላየኸኝ	stem: አየኸኝ
word: ከአንደኛው	stem: ከአንደኛ
word: ወጥቷል	citation: ወጠተ
word: የበደለኛ	stem: በደለኛ
word: ሲከታተል	citation: ተከታተለ
word: ቀበሩት	citation: ቀበረ
word: ነፋሱም	stem: ነፋስ
word: የተመኘሁትን	stem: የተመኘሁት
word: ካላጠበና	stem: አላጠበ
word: እፈልጋለሁና	citation: ፈለገ
word: ሰፍኖባታል	citation: ሰፈነ
word: እስከተቀበሉት	citation: ተቀበለ
word: ይዣለሁና	stem: ይዣለህ
word: እወድሻለሁ	citation: ወደደ
word: በመንገዷ	stem: መንገድ
word: እንደላክኸኝም	stem: ላክኸኝ
word: አልተጠቀምንም	citation: ተጠቀመ
word: ያባርሩሃል	citation: አባረረ
word: እንዲከሰት	citation: ተከሰተ
word: ጠርባ	citation: ጠረበ
word: ቀድሜአችሁ	stem: ቀድሜአችህ
word: ጠባብ	citation: ጠባበበ
word: ይቆጠሩ	citation: ተቆጠረ
word: ርስታቸውም	stem: ርስታቸ
word: ያበቃልና	stem: አበቃልና
word: የሰናክሬም	stem: የሰናክር
word: የሚዘጋጁበት	stem: ሚዘጋጁበት
word: ከይሽዊ	stem: ይሽዊ
word: የመጥፎ	stem: መጥፎ
word: በጓዳ	stem: ጓዳ
word: መንጋዬን	stem: መንጋ
word: ዙሪያውም	stem: ዙሪያ
word: እንደሚጎድለኝ	citation: ጎደለ
word: ተጠራርጎ	citation: ተጠራረገ
word: ተበዝብዘዋል	citation: ተበዘበዘ
word: ፈጸሙባቸው	citation: ፈጸመ
word: ባለሥልጣናትም	stem: ባለስልጣናት
word: የፍል	stem: ፍል
word: በኤልሳዕም	stem: ኤልሳእም
word: ስለምናደርግ	citation: አደረገ
word: አስደንጋጭና	stem: አስደነገጠ
word: ሄደህ	stem: ሄደ
word: ሰገደላትም	stem: ሰገደላት
word: የሚያጸድቃቸው	citation: አጸደቀ
word: የተደረገልሽ	citation: ተደረገ
word: አላይም	stem: አላይ
word: የዋጀኸውን	stem: ዋጀኸ
word: አሳውቃችኋለሁ	stem: አሳውቃችህዋለሁ
word: የሥጋውን	stem: ስጋ
word: በእውነት	stem: እውነት
word: ከየትኛው	stem: ትኛ
word: የምትመለሱ	citation: ተመለሰ
word: ሸለፈቱ	stem: ሸለፈት
word: ጥርሳቸውን	stem: ጥርስ
word: ይመሠረታል	citation: ተመሰረተ
word: መንቀጥቀጡ	stem: ተንቀጠቀጠ
word: እስክወስን	stem: ስክወስን
word: አውጥቷቸዋል	stem: አውጥትዋቸዋል
word: ስንጥቁም	stem: ስንጥቅ
word: በማይጓዝበትና	stem: ማይግዋዝበትና
word: ልኮት	citation: ቀኮተ
word: ለመብራት	stem: መብራት
word: በሁሉም	stem: ሁል
word: የተሰቀሉትን	citation: ተሰቀለ
word: አይለመልሙም	stem: አይለመልም
word: ባስታወስኩ	stem: አስታወስክ
word: ሄዶም	stem: ሄዶ
word: ያልሽውን	stem: አልሽው
word: ሲከቱ	citation: ከተተ
word: የለውምና	stem: የለውም
word: ከኢያቡሳውያን	stem: ኢያቡሳውያን
word: አራቁቶ	citation: አራቆተ
word: ለምድያማውያን	stem: ለምድያማውያ
word: ተመልከቺ	citation: ተመለከተ
word: ያስደስተኛልና	citation: አስደሰተ
word: እንዳዩ	stem: አይ
word: ስፋትና	stem: ስፋት
word: ይተማመንበት	citation: ተተማመነ
word: ትእዛዛትም	stem: ትእዛዛት
word: እንዳስነወራት	stem: አስነወራት
word: ይነሱትና	stem: ይነሱት
word: የሚበሉትም	stem: ሚበሉትም
word: የሚያነበንቡትንና	stem: ሚያነበንቡትንና
word: የእጆቻቸውም	stem: እጃ
word: አንደኛና	stem: አንደኛ
word: ከመንፈሴ	stem: መንፈሴ
word: እየተከተሏቸው	citation: ተከተለ
word: በግራና	stem: ግራ
word: የዚሁ	stem: ዚህ
word: አሳልፈህ	stem: አሳልፈ
word: የሚቆይበትን	stem: ሚቆይበት
word: መምህሩን	stem: መምህር
word: ያምፃሉ	stem: አምጻሉ
word: ከመክፈል	stem: ከፈለ
word: ለቤት	stem: ቤት
word: ስድብንም	stem: ስድብ
word: ታደርጋላችሁ	citation: አደረገ
word: የሚያምፁትንና	stem: ሚያምጹትንና
word: የሱኮት	stem: ሱኮት
word: አገልጋዮቼ	stem: አገለገለ
word: ከሚገኝ	stem: ሚገኝ
word: አልሆነችም	stem: አልሆነች
word: አትጠይቀው	stem: አትጠይቀ
word: እንጨቱንም	stem: እንጨት
word: በባኦስና	stem: ባኦስና
word: ይመለሳሉና	citation: ተመለሰ
word: ስለመሰላት	citation: መሰለ
word: መስጠትም	stem: መስጠት
word: ማርገዝም	stem: አረገዘ
word: የምትፈላልግብኝ	stem: ምትፈላልግብኝ
word: ለይሁዳም	stem: ይሁዳ
word: ቅሬታውን	stem: ቅሬታ
word: እንድንጠላ	stem: ንድንጠላ
word: ጥበብህ	citation: ጠበበ
word: ዳርቻም	stem: ዳርቻ
word: የማምሬ	stem: የማምር
word: አስተዋልኩ	stem: አስተዋልክ
word: ተወርወር	citation: ተወረወረ
word: ለኮረብቶቹ	stem: ለኮረብት
word: የአዛዝያ	stem: አዛዝያ
word: ይንዠረገጋል	citation: ተንዠረገገ
word: የሚሸሽ	stem: የሚሸ
word: ማዋሉንና	stem: ማዋል
word: ከወይኑና	stem: ከወይኑ
word: ባላሰበው	stem: አላሰበ
word: አቃለሃል	citation: አቃለለ
word: ሳይሰማና	stem: ሳይሰማ
word: ለነፍስ	stem: ነፍስ
word: በሚነፋበት	stem: ሚነፋበት
word: እንርካ	stem: ንርካ
word: ይመሩ	citation: መረረ
word: ዝርያዎች	stem: ዝርያው
word: የሚታወሱበት	stem: ሚታወሱበት
word: አደስና	stem: አደስ
word: አወጅኩ	stem: አወጅክ
word: መገረዝ	stem: ተገረዘ
word: ይዘሽ	stem: ይዘ
word: በጣሪያዬ	stem: በጣሪያ
word: ቢጠፈሩ	stem: ቢጠፈር
word: እንድታረጋግጡለት	citation: አረጋገጠ
word: እንዲርቁ	stem: እንዲርቅ
word: ከይሁዳም	stem: ይሁዳ
word: ወዳለው	stem: አለ
word: እንዲሰበስብልህ	citation: ሰበሰበ
word: ይጠብቋችኋል	citation: ጠበቀ
word: እንደሚተከልበትም	stem: ሚተከልበት
word: የሚያድገውን	stem: ሚያድገው
word: ስለታከተህ	stem: ስለታከተ
